intron,SAMPLE,SGK1_status,scaledCPM
int_1,SRR8513364,Wild Type,0.5079386008197585
int_1,SRR8513365,Exon Mutant,2.753026557327266
int_1,SRR8513366,Wild Type,1.4925577659705538
int_1,SRR8513367,Wild Type,1.3366131616752552
int_1,SRR8513368,Wild Type,0.91352621211012075
int_1,SRR8513370,Wild Type,1.950174032179578
int_1,SRR8513373,Wild Type,0.2431310295869326
int_1,SRR8513375,Wild Type,1.2093080055580836
int_1,SRR8513376,Wild Type,2.160681892002423
int_1,SRR8513377,Wild Type,1.3223787693718807
int_1,SRR8513378,Wild Type,0.3683377178557284
int_1,SRR8513379,Wild Type,1.6676375522402693
int_1,SRR8513380,Wild Type,2.145069173012396
int_1,SRR8513381,Wild Type,0.47495111362808123
int_1,SRR8513382,Wild Type,1.9860259609552995
int_1,SRR8513384,Wild Type,2.121461802349755
int_1,SRR8513385,Wild Type,1.1638232663581973
int_1,SRR8513386,Wild Type,1.7503163517258085
int_1,SRR8513387,Wild Type,1.0058924669652178
int_1,SRR8513388,Wild Type,0.5990034984184066
int_1,SRR8513389,Wild Type,-0.1647859805793857
int_1,SRR8513390,Intron Mutant,2.259913077982895
int_1,SRR8513391,Wild Type,2.1074655149354258
int_1,SRR8513392,Wild Type,0.2960095632883319
int_1,SRR8513393,Wild Type,1.188557431218457
int_1,SRR8513395,Wild Type,1.9178848639662067
int_1,SRR8513396,Wild Type,0.7575006273327803
int_1,SRR8513397,Wild Type,2.3056855056298895
int_1,SRR8513398,Wild Type,-0.29197970997001216
int_1,SRR8513399,Wild Type,0.39020239109694327
int_1,SRR8513400,Wild Type,1.869989147249107
int_1,SRR8513401,Intron Mutant,2.871573225848361
int_1,SRR8513403,Wild Type,1.5895984868951905
int_1,SRR8513404,Wild Type,0.6570343052874864
int_1,SRR8513405,Wild Type,2.1980640123120625
int_1,SRR8513406,Wild Type,1.9867756382617865
int_1,SRR8513407,Wild Type,0.29392296724944883
int_1,SRR8513409,Wild Type,0.9374699659477357
int_1,SRR8513410,Wild Type,0.27343171510315967
int_1,SRR8513411,Wild Type,1.9071016397475151
int_1,SRR8513412,Wild Type,0.20295825102568005
